@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE logLenC NUMERIC

@DATA
10.2276,0.0609,0.0996,8.9971,1.0000,0.4400,0.5631,0.6135,0.7678,5.0106352940962555
10.5553,0.0354,0.0692,12.4112,2.0000,0.4398,0.5631,0.6136,0.7669,5.0106352940962555
10.0902,0.0348,0.0711,11.2743,2.0000,0.2780,0.4193,0.4863,0.7099,7.647308832356238
10.1335,0.0313,0.0665,11.9389,2.0000,0.2762,0.4173,0.4851,0.7087,7.647308832356238
10.4086,0.0062,0.0254,25.3656,4.0000,0.2792,0.4209,0.4872,0.7093,7.647308832356238
10.3357,0.0373,0.0718,11.9579,2.0000,0.4446,0.5679,0.6184,0.7727,5.327876168789581
10.1189,0.0546,0.0928,9.5468,1.0000,0.4443,0.5672,0.6179,0.7735,5.327876168789581
10.3366,0.0366,0.0710,12.0614,2.0000,0.4440,0.5671,0.6181,0.7729,5.327876168789581
9.7735,0.0011,0.0151,26.1130,7.0000,0.2450,0.4212,0.5092,0.6943,3.9889840465642745
9.7454,0.0055,0.0362,16.9220,4.0000,0.2439,0.4187,0.5074,0.6935,3.9889840465642745
9.7603,0.0030,0.0264,20.1788,5.0000,0.2426,0.4186,0.5077,0.6937,3.9889840465642745
10.2968,0.0323,0.0659,12.8876,2.0000,0.4435,0.5707,0.6230,0.7813,4.330733340286331
10.4865,0.0168,0.0441,18.0378,2.0000,0.4447,0.5718,0.6242,0.7822,4.330733340286331
10.2451,0.0376,0.0727,11.8556,2.0000,0.4428,0.5700,0.6224,0.7807,4.330733340286331
10.0666,0.0391,0.0744,11.6187,2.0000,0.4575,0.5839,0.6357,0.7906,3.828641396489095
9.9708,0.0465,0.0840,10.4625,2.0000,0.4582,0.5839,0.6364,0.7916,3.828641396489095
10.1182,0.0357,0.0700,12.2606,2.0000,0.4580,0.5828,0.6354,0.7898,3.828641396489095
10.2997,0.0164,0.0441,17.5369,2.0000,0.3903,0.5298,0.5884,0.7670,6.889591308354466
10.0959,0.0345,0.0706,11.9193,2.0000,0.3901,0.5293,0.5876,0.7661,6.889591308354466
10.0207,0.0409,0.0783,10.9023,2.0000,0.3914,0.5303,0.5892,0.7681,6.889591308354466
11.2534,0.0590,0.0953,9.4178,1.0000,0.4165,0.5329,0.5804,0.7238,8.517193191416238
10.8898,0.0857,0.1238,7.4118,1.0000,0.4163,0.5333,0.5808,0.7251,8.517193191416238
10.9014,0.0850,0.1240,7.4145,1.0000,0.4166,0.5337,0.5811,0.7249,8.517193191416238
9.9707,0.0024,0.0153,34.8834,5.0000,0.3333,0.4834,0.5507,0.7636,6.966967138613983
9.7555,0.0222,0.0534,14.4852,2.0000,0.3364,0.4848,0.5521,0.7667,6.966967138613983
9.9384,0.0051,0.0235,26.6836,4.0000,0.3335,0.4836,0.5509,0.7640,6.966967138613983
10.1085,0.0107,0.0343,21.6197,3.0000,0.4549,0.5867,0.6416,0.8010,3.8501476017100584
10.0243,0.0169,0.0448,17.6111,2.0000,0.4549,0.5872,0.6415,0.8018,3.8501476017100584
10.1703,0.0048,0.0221,29.4389,4.0000,0.4542,0.5860,0.6408,0.8013,3.8501476017100584
10.5527,0.0220,0.0517,15.7951,2.0000,0.3235,0.4748,0.5446,0.7631,5.594711379601839
10.1332,0.0577,0.0958,9.2529,1.0000,0.3224,0.4745,0.5440,0.7641,5.594711379601839
10.7360,0.0076,0.0279,25.4518,3.0000,0.3227,0.4746,0.5443,0.7629,5.594711379601839
10.4064,0.0009,0.0088,50.1520,6.0000,0.3392,0.5156,0.6001,0.7918,4.290459441148391
10.3143,0.0080,0.0290,24.5717,3.0000,0.3395,0.5157,0.6004,0.7928,4.290459441148391
10.3862,0.0025,0.0154,37.0467,5.0000,0.3389,0.5150,0.5996,0.7916,4.290459441148391
10.1177,0.0288,0.0619,13.4661,2.0000,0.4449,0.5712,0.6235,0.7831,6.588926477533519
10.2678,0.0155,0.0431,18.1058,3.0000,0.4452,0.5716,0.6242,0.7825,6.588926477533519
10.3061,0.0127,0.0382,19.8122,3.0000,0.4450,0.5708,0.6228,0.7816,6.588926477533519
10.3462,0.0336,0.0673,12.2668,2.0000,0.2623,0.4030,0.4713,0.7094,6.940222469119639
10.3861,0.0309,0.0641,12.8187,2.0000,0.2622,0.4025,0.4714,0.7095,6.940222469119639
10.1403,0.0504,0.0879,9.6733,2.0000,0.2621,0.4035,0.4722,0.7130,6.940222469119639
10.7680,0.0655,0.1047,8.5851,1.0000,0.3896,0.5165,0.5692,0.7280,8.517193191416238
10.6271,0.0777,0.1175,7.7225,1.0000,0.3881,0.5148,0.5685,0.7281,8.517193191416238
10.4419,0.0915,0.1336,6.8722,1.0000,0.3885,0.5162,0.5697,0.7290,8.517193191416238
10.2078,0.0175,0.0462,16.8527,2.0000,0.3696,0.5141,0.5759,0.7651,6.587550014824796
