@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE logLenC NUMERIC

@DATA
10.1628,0.0084,0.0304,23.3613,3.0000,0.4451,0.5734,0.6271,0.7894,6.682108597449809
10.2329,0.0028,0.0163,35.0931,5.0000,0.4444,0.5732,0.6269,0.7890,6.682108597449809
10.6582,0.0050,0.0275,22.9528,4.0000,0.3527,0.5262,0.5718,0.7138,2.995732273553991
10.3203,0.0464,0.0955,9.0878,2.0000,0.3526,0.5269,0.5730,0.7166,2.995732273553991
10.4351,0.0316,0.0760,10.9788,2.0000,0.3514,0.5255,0.5721,0.7150,2.995732273553991
10.3281,0.0411,0.0978,8.7209,2.0000,0.4406,0.5093,0.5421,0.6772,1.6094379124341003
10.2527,0.0519,0.1116,7.7987,2.0000,0.4379,0.5071,0.5398,0.6769,1.6094379124341003
10.2736,0.0495,0.1085,7.9925,2.0000,0.4398,0.5080,0.5411,0.6775,1.6094379124341003
10.0710,0.0225,0.0581,13.0348,3.0000,0.2646,0.4024,0.4687,0.6952,8.258940462988459
10.1045,0.0187,0.0516,14.1910,3.0000,0.2639,0.4014,0.4670,0.6942,8.258940462988459
10.1649,0.0119,0.0386,17.5923,3.0000,0.2640,0.4022,0.4682,0.6934,8.258940462988459
10.5243,0.0443,0.0793,10.9596,2.0000,0.3287,0.4743,0.5389,0.7424,6.129050210060545
10.3437,0.0597,0.0976,9.0658,1.0000,0.3286,0.4722,0.5379,0.7407,6.129050210060545
10.6458,0.0343,0.0673,12.6158,2.0000,0.3280,0.4726,0.5371,0.7408,6.129050210060545
10.1635,0.0043,0.0207,30.8599,4.0000,0.4878,0.6179,0.6633,0.8040,2.302585092994046
10.0729,0.0116,0.0360,20.9080,3.0000,0.4876,0.6182,0.6639,0.8048,2.302585092994046
9.8451,0.0307,0.0648,13.0747,2.0000,0.4885,0.6190,0.6642,0.8067,2.302585092994046
10.2173,0.0073,0.0276,25.3996,3.0000,0.4939,0.6181,0.6619,0.7999,2.0794415416798357
10.1323,0.0142,0.0402,19.2424,3.0000,0.4942,0.6185,0.6623,0.8012,2.0794415416798357
10.3070,0.0001,0.0028,77.9052,10.0000,0.4945,0.6184,0.6623,0.7999,2.0794415416798357
11.3484,0.0778,0.1152,7.9461,1.0000,0.3913,0.5114,0.5612,0.7079,8.17244681834278
11.8417,0.0418,0.0750,11.6886,2.0000,0.3917,0.5109,0.5603,0.7060,8.17244681834278
11.2821,0.0826,0.1205,7.6167,1.0000,0.3910,0.5103,0.5597,0.7063,8.17244681834278
10.3432,0.0192,0.0480,16.7912,2.0000,0.4523,0.5798,0.6327,0.7874,3.9512437185814275
10.4600,0.0096,0.0321,22.9406,3.0000,0.4507,0.5789,0.6320,0.7873,3.9512437185814275
10.0960,0.0401,0.0759,11.4284,2.0000,0.4522,0.5786,0.6319,0.7882,3.9512437185814275
10.9051,0.1562,0.2128,4.4591,1.0000,0.4366,0.4986,0.5268,0.6375,1.6094379124341003
11.5337,0.0873,0.1426,6.4292,1.0000,0.4378,0.4996,0.5276,0.6362,1.6094379124341003
11.6422,0.0754,0.1298,6.9979,1.0000,0.4375,0.4994,0.5276,0.6355,1.6094379124341003
10.3398,0.0305,0.0634,13.3860,2.0000,0.4688,0.5916,0.6424,0.7844,3.044522437723423
10.5921,0.0100,0.0327,22.7165,3.0000,0.4685,0.5925,0.6428,0.7838,3.044522437723423
10.2739,0.0363,0.0707,12.1562,2.0000,0.4685,0.5920,0.6427,0.7841,3.044522437723423
9.9986,0.0283,0.0616,13.5278,2.0000,0.4104,0.5526,0.6130,0.7908,4.983606621708336
10.3360,0.0000,0.0020,85.6043,11.0000,0.4096,0.5518,0.6119,0.7905,4.983606621708336
10.1028,0.0195,0.0487,16.4694,2.0000,0.4099,0.5528,0.6126,0.7921,4.983606621708336
10.2279,0.0669,0.1060,8.5608,1.0000,0.4745,0.5990,0.6408,0.7729,2.302585092994046
10.3496,0.0560,0.0934,9.5783,1.0000,0.4746,0.5991,0.6408,0.7721,2.302585092994046
10.7291,0.0267,0.0578,14.5499,2.0000,0.4741,0.5992,0.6410,0.7719,2.302585092994046
10.4532,0.0210,0.0506,15.9248,2.0000,0.4251,0.5536,0.6071,0.7682,6.885509670034818
10.2572,0.0366,0.0723,11.8227,2.0000,0.4240,0.5531,0.6069,0.7702,6.885509670034818
10.6945,0.0010,0.0090,48.8795,6.0000,0.4245,0.5534,0.6069,0.7678,6.885509670034818
10.2882,0.0180,0.0490,15.1067,3.0000,0.2785,0.4179,0.4833,0.7011,8.256866848974312
10.3547,0.0102,0.0348,19.4245,3.0000,0.2785,0.4176,0.4829,0.7004,8.256866848974312
10.2681,0.0189,0.0509,14.7006,3.0000,0.2784,0.4171,0.4831,0.7011,8.256866848974312
11.0798,0.0244,0.0539,15.4695,2.0000,0.4826,0.5949,0.6344,0.7599,2.0794415416798357
10.7255,0.0529,0.0891,10.0126,1.0000,0.4818,0.5950,0.6351,0.7600,2.0794415416798357
10.6531,0.0577,0.0947,9.4994,1.0000,0.4836,0.5962,0.6350,0.7612,2.0794415416798357
9.9141,0.0270,0.0616,13.4782,2.0000,0.4425,0.6008,0.6470,0.7925,2.4849066497880004
10.2097,0.0010,0.0099,44.8374,6.0000,0.4412,0.6002,0.6465,0.7904,2.4849066497880004
10.2100,0.0008,0.0088,47.4426,6.0000,0.4418,0.6001,0.6465,0.7896,2.4849066497880004
10.5319,0.0209,0.0502,16.2694,2.0000,0.5132,0.6110,0.6510,0.7818,1.6094379124341003
10.5261,0.0212,0.0509,16.1032,2.0000,0.5135,0.6112,0.6507,0.7818,1.6094379124341003
10.1508,0.0527,0.0897,9.8830,1.0000,0.5133,0.6112,0.6512,0.7824,1.6094379124341003
10.2246,0.0368,0.0711,12.0890,2.0000,0.5142,0.6141,0.6546,0.7866,1.6094379124341003
10.0498,0.0511,0.0892,9.9489,1.0000,0.5134,0.6125,0.6533,0.7875,1.6094379124341003
10.2189,0.0367,0.0717,12.0418,2.0000,0.5157,0.6144,0.6547,0.7876,1.6094379124341003
10.2959,0.0225,0.0527,15.5792,2.0000,0.4881,0.6107,0.6536,0.7908,2.1972245773362196
10.4894,0.0064,0.0255,27.1718,3.0000,0.4880,0.6111,0.6541,0.7900,2.1972245773362196
10.1791,0.0321,0.0658,12.9097,2.0000,0.4878,0.6105,0.6535,0.7896,2.1972245773362196
10.3845,0.0636,0.1115,7.6642,2.0000,0.2034,0.3264,0.3893,0.6267,7.3395376954076745
10.6337,0.0358,0.0771,10.6337,2.0000,0.2055,0.3271,0.3899,0.6273,7.3395376954076745
10.4586,0.0549,0.1009,8.3866,2.0000,0.2048,0.3265,0.3901,0.6283,7.3395376954076745
10.2706,0.0795,0.1194,7.6418,1.0000,0.3230,0.4759,0.5471,0.7548,5.0689042022202315
10.5271,0.0590,0.0961,9.3131,1.0000,0.3212,0.4755,0.5471,0.7550,5.0689042022202315
10.7391,0.0425,0.0777,11.2889,2.0000,0.3225,0.4765,0.5479,0.7552,5.0689042022202315
10.6915,0.0427,0.0775,11.2633,2.0000,0.3029,0.4553,0.5268,0.7517,5.5134287461649825
11.0392,0.0152,0.0409,19.2817,2.0000,0.3021,0.4538,0.5253,0.7505,5.5134287461649825
11.0346,0.0155,0.0414,19.0924,2.0000,0.3022,0.4539,0.5250,0.7504,5.5134287461649825
10.6174,0.0653,0.1329,6.6479,2.0000,0.1623,0.2790,0.3447,0.6102,5.783825182329737
10.8402,0.0283,0.0814,9.9309,2.0000,0.1626,0.2787,0.3448,0.6093,5.783825182329737
10.8779,0.0225,0.0721,10.9239,3.0000,0.1634,0.2802,0.3471,0.6100,5.783825182329737
10.0323,0.0335,0.0696,12.0085,2.0000,0.3817,0.5229,0.5827,0.7662,7.272398392570047
10.2236,0.0164,0.0451,17.0883,3.0000,0.3806,0.5213,0.5815,0.7634,7.272398392570047
9.9768,0.0385,0.0767,11.0556,2.0000,0.3803,0.5215,0.5817,0.7646,7.272398392570047
10.1780,0.0000,0.0012,94.9054,12.0000,0.2933,0.4507,0.5270,0.7836,5.703782474656201
9.9429,0.0202,0.0506,15.7749,2.0000,0.2931,0.4497,0.5272,0.7845,5.703782474656201
9.9376,0.0203,0.0507,15.7198,2.0000,0.2925,0.4511,0.5270,0.7841,5.703782474656201
10.2561,0.0001,0.0021,84.1832,10.0000,0.4654,0.5925,0.6450,0.8006,3.8066624897703196
10.0402,0.0182,0.0471,16.9380,2.0000,0.4639,0.5920,0.6444,0.8007,3.8066624897703196
10.1816,0.0062,0.0251,27.1296,4.0000,0.4648,0.5914,0.6440,0.8008,3.8066624897703196
10.0774,0.0008,0.0109,33.4986,7.0000,0.2487,0.4130,0.5033,0.7133,4.382026634673881
10.0833,0.0000,0.0001,92.4789,19.0000,0.2496,0.4143,0.5045,0.7141,4.382026634673881
10.0827,0.0001,0.0024,53.6184,11.0000,0.2492,0.4131,0.5033,0.7130,4.382026634673881
9.9407,0.0397,0.0754,11.4560,2.0000,0.4628,0.5847,0.6362,0.7934,4.382026634673881
10.3778,0.0031,0.0175,34.4418,4.0000,0.4633,0.5861,0.6371,0.7917,4.382026634673881
10.2792,0.0111,0.0351,21.3552,3.0000,0.4633,0.5864,0.6371,0.7920,4.382026634673881
10.7987,0.0228,0.0523,15.7038,2.0000,0.3538,0.4966,0.5588,0.7500,5.796057750765372
10.8266,0.0202,0.0485,16.7081,2.0000,0.3539,0.4971,0.5592,0.7501,5.796057750765372
10.6987,0.0295,0.0615,13.7003,2.0000,0.3544,0.4979,0.5603,0.7507,5.796057750765372
10.4211,0.0946,0.1341,6.8959,1.0000,0.3999,0.5326,0.5875,0.7471,4.624972813284271
10.7876,0.0664,0.1036,8.7440,1.0000,0.4007,0.5327,0.5872,0.7466,4.624972813284271
10.7312,0.0705,0.1077,8.4356,1.0000,0.4015,0.5332,0.5880,0.7474,4.624972813284271
10.4151,0.0409,0.0845,9.5130,2.0000,0.2190,0.3425,0.4050,0.6307,8.275121630216509
10.4520,0.0370,0.0779,10.1276,2.0000,0.2193,0.3423,0.4036,0.6281,8.275121630216509
10.7619,0.0039,0.0209,27.1870,5.0000,0.2195,0.3431,0.4054,0.6290,8.275121630216509
10.8769,0.0258,0.0585,13.7236,2.0000,0.2310,0.3591,0.4229,0.6507,7.55171221535131
10.3796,0.0712,0.1138,7.5419,1.0000,0.2316,0.3595,0.4235,0.6514,7.55171221535131
10.9092,0.0225,0.0539,14.7053,2.0000,0.2314,0.3605,0.4246,0.6515,7.55171221535131
9.8779,0.0313,0.0657,12.9116,2.0000,0.4524,0.5947,0.6509,0.8029,3.258096538021482
10.1238,0.0108,0.0347,21.4388,3.0000,0.4515,0.5940,0.6518,0.8011,3.258096538021482
9.9633,0.0255,0.0566,14.5860,2.0000,0.4513,0.5929,0.6504,0.8023,3.258096538021482
10.3198,0.0284,0.0608,13.8363,2.0000,0.4532,0.5881,0.6421,0.7861,3.1354942159291497
10.3657,0.0249,0.0560,14.8299,2.0000,0.4521,0.5881,0.6415,0.7851,3.1354942159291497
10.4134,0.0199,0.0492,16.5196,2.0000,0.4531,0.5894,0.6436,0.7864,3.1354942159291497
10.2281,0.0357,0.0704,11.8611,2.0000,0.3413,0.4853,0.5495,0.7475,6.763884908562435
10.0828,0.0470,0.0845,10.1322,2.0000,0.3428,0.4870,0.5510,0.7499,6.763884908562435
10.1818,0.0393,0.0751,11.2503,2.0000,0.3419,0.4871,0.5509,0.7481,6.763884908562435
10.6465,0.0793,0.1172,7.8374,1.0000,0.4947,0.5907,0.6290,0.7517,1.791759469228055
10.5453,0.0877,0.1268,7.2988,1.0000,0.4944,0.5906,0.6282,0.7514,1.791759469228055
10.4320,0.0964,0.1353,6.8628,1.0000,0.4933,0.5904,0.6277,0.7517,1.791759469228055
10.1723,0.0204,0.0501,16.0104,2.0000,0.4454,0.5727,0.6251,0.7845,6.349138991379798
10.2160,0.0164,0.0442,17.6980,2.0000,0.4447,0.5719,0.6246,0.7841,6.349138991379798
10.0972,0.0269,0.0595,13.8746,2.0000,0.4447,0.5711,0.6233,0.7838,6.349138991379798
10.1118,0.0112,0.0354,21.1406,3.0000,0.4809,0.6157,0.6615,0.8024,2.3978952727983707
10.1357,0.0102,0.0333,22.1000,3.0000,0.4808,0.6150,0.6608,0.8014,2.3978952727983707
10.2592,0.0001,0.0018,88.7927,11.0000,0.4816,0.6154,0.6611,0.8016,2.3978952727983707
10.5391,0.0103,0.0333,22.2629,3.0000,0.4538,0.5756,0.6257,0.7784,5.293304824724492
10.2235,0.0366,0.0718,11.9551,2.0000,0.4532,0.5745,0.6249,0.7786,5.293304824724492
10.2665,0.0334,0.0676,12.5964,2.0000,0.4526,0.5741,0.6246,0.7791,5.293304824724492
10.2523,0.0430,0.0786,11.0989,2.0000,0.4297,0.5671,0.6241,0.7819,3.8501476017100584
10.2500,0.0441,0.0803,10.8982,2.0000,0.4294,0.5670,0.6240,0.7795,3.8501476017100584
10.7591,0.0027,0.0161,36.7630,4.0000,0.4300,0.5669,0.6234,0.7793,3.8501476017100584
10.5730,0.0486,0.0849,10.4304,1.0000,0.4984,0.5994,0.6384,0.7665,1.791759469228055
10.9571,0.0190,0.0465,17.4312,2.0000,0.5008,0.6016,0.6409,0.7671,1.791759469228055
11.0531,0.0112,0.0342,22.2106,3.0000,0.5015,0.6014,0.6406,0.7672,1.791759469228055
10.1518,0.0019,0.0134,39.2865,5.0000,0.4577,0.5838,0.6362,0.7960,5.902633333401366
9.9227,0.0219,0.0528,15.2797,2.0000,0.4564,0.5835,0.6360,0.7972,5.902633333401366
10.1439,0.0025,0.0154,36.4412,5.0000,0.4588,0.5844,0.6369,0.7967,5.902633333401366
10.6136,0.0733,0.1177,7.5063,1.0000,0.2771,0.4107,0.4718,0.6719,8.370547611074752
10.7188,0.0642,0.1070,8.1660,1.0000,0.2787,0.4117,0.4729,0.6724,8.370547611074752
10.7760,0.0586,0.1001,8.6536,1.0000,0.2778,0.4107,0.4720,0.6709,8.370547611074752
10.2101,0.0286,0.0615,13.5803,2.0000,0.3513,0.5019,0.5679,0.7729,5.62040086571715
10.0187,0.0449,0.0822,10.5485,2.0000,0.3511,0.4994,0.5666,0.7726,5.62040086571715
10.1312,0.0354,0.0701,12.1598,2.0000,0.3515,0.5014,0.5676,0.7740,5.62040086571715
10.2074,0.0003,0.0046,65.1116,8.0000,0.4387,0.5750,0.6313,0.7993,4.442651256490317
10.0750,0.0110,0.0348,21.3450,3.0000,0.4378,0.5740,0.6302,0.7998,4.442651256490317
9.9506,0.0219,0.0529,15.3950,2.0000,0.4375,0.5729,0.6299,0.7995,4.442651256490317
10.1339,0.0364,0.0707,11.9348,2.0000,0.3845,0.5264,0.5866,0.7686,6.192362489474872
10.1517,0.0336,0.0677,12.3963,2.0000,0.3837,0.5253,0.5860,0.7676,6.192362489474872
10.4016,0.0129,0.0380,19.9452,3.0000,0.3838,0.5254,0.5854,0.7669,6.192362489474872
10.8837,0.0395,0.0733,11.8819,2.0000,0.3974,0.5354,0.5943,0.7566,4.430816798843313
10.4005,0.0764,0.1155,7.9109,1.0000,0.3955,0.5341,0.5923,0.7566,4.430816798843313
11.0229,0.0286,0.0598,14.1705,2.0000,0.3968,0.5352,0.5938,0.7564,4.430816798843313
10.1097,0.0453,0.0818,10.7489,2.0000,0.5163,0.6156,0.6562,0.7895,1.6094379124341003
10.1067,0.0457,0.0819,10.7147,2.0000,0.5157,0.6151,0.6558,0.7884,1.6094379124341003
10.1611,0.0414,0.0773,11.2923,2.0000,0.5160,0.6147,0.6552,0.7882,1.6094379124341003
10.2682,0.0030,0.0170,33.8992,5.0000,0.4034,0.5424,0.6008,0.7774,6.79794041297493
9.9915,0.0270,0.0608,13.4771,2.0000,0.4040,0.5426,0.6013,0.7781,6.79794041297493
10.1750,0.0105,0.0348,20.9672,3.0000,0.4031,0.5415,0.6001,0.7772,6.79794041297493
10.5315,0.0277,0.0817,9.9040,2.0000,0.1788,0.3048,0.3772,0.6342,5.384495062789089
10.6901,0.0012,0.0154,26.9436,6.0000,0.1780,0.3052,0.3779,0.6348,5.384495062789089
10.6235,0.0117,0.0510,13.9656,3.0000,0.1785,0.3056,0.3782,0.6350,5.384495062789089
9.9369,0.0368,0.0723,11.8549,2.0000,0.4303,0.5653,0.6223,0.7927,4.787491742782046
10.3233,0.0045,0.0211,30.4555,4.0000,0.4299,0.5654,0.6221,0.7916,4.787491742782046
10.2442,0.0112,0.0352,21.2320,3.0000,0.4295,0.5650,0.6212,0.7912,4.787491742782046
10.3668,0.0307,0.0642,13.1798,2.0000,0.4534,0.5737,0.6233,0.7751,6.4967749901858625
10.1843,0.0458,0.0834,10.5140,2.0000,0.4541,0.5735,0.6231,0.7757,6.4967749901858625
10.5392,0.0173,0.0449,17.6665,2.0000,0.4528,0.5728,0.6222,0.7737,6.4967749901858625
10.4138,0.0837,0.1232,7.4322,1.0000,0.4426,0.5573,0.6047,0.7491,6.063785208687608
10.4287,0.0838,0.1235,7.4112,1.0000,0.4413,0.5554,0.6023,0.7466,6.063785208687608
10.6588,0.0660,0.1039,8.6880,1.0000,0.4421,0.5578,0.6046,0.7468,6.063785208687608
10.2344,0.0160,0.0434,18.1999,2.0000,0.4120,0.5980,0.6510,0.7957,2.995732273553991
9.9840,0.0383,0.0733,11.7769,2.0000,0.4130,0.5994,0.6524,0.7973,2.995732273553991
10.3122,0.0099,0.0327,22.5325,3.0000,0.4109,0.5981,0.6513,0.7944,2.995732273553991
10.5184,0.0497,0.0862,10.2904,1.0000,0.3933,0.5513,0.6180,0.7671,3.6635616461296463
10.7854,0.0287,0.0603,14.0386,2.0000,0.3940,0.5518,0.6189,0.7674,3.6635616461296463
10.2935,0.0682,0.1065,8.5103,1.0000,0.3948,0.5517,0.6191,0.7686,3.6635616461296463
10.3513,0.0284,0.0612,13.6879,2.0000,0.4420,0.5663,0.6178,0.7738,6.962243464266207
10.1466,0.0459,0.0832,10.4867,2.0000,0.4402,0.5643,0.6158,0.7743,6.962243464266207
10.1861,0.0418,0.0787,11.0139,2.0000,0.4409,0.5653,0.6164,0.7732,6.962243464266207
9.6671,0.0158,0.0438,17.8331,2.0000,0.4951,0.6299,0.6763,0.8223,2.1972245773362196
9.6462,0.0187,0.0483,16.5521,2.0000,0.4928,0.6278,0.6739,0.8212,2.1972245773362196
9.6869,0.0152,0.0423,18.2771,3.0000,0.4940,0.6274,0.6739,0.8198,2.1972245773362196
10.1729,0.0015,0.0119,42.2736,5.0000,0.3934,0.5398,0.6024,0.7920,5.365976015021851
9.8064,0.0340,0.0686,12.2749,2.0000,0.3927,0.5397,0.6025,0.7934,5.365976015021851
10.1493,0.0034,0.0184,32.8755,4.0000,0.3932,0.5401,0.6026,0.7916,5.365976015021851
10.6439,0.0758,0.1142,8.0281,1.0000,0.4885,0.5911,0.6295,0.7534,1.9459101490553132
10.5309,0.0832,0.1216,7.5708,1.0000,0.4895,0.5926,0.6306,0.7544,1.9459101490553132
10.4825,0.0877,0.1265,7.3074,1.0000,0.4891,0.5919,0.6306,0.7538,1.9459101490553132
10.2401,0.0341,0.0676,12.5277,2.0000,0.4135,0.5473,0.6032,0.7731,5.5093883366279774
10.6202,0.0020,0.0135,40.3237,5.0000,0.4137,0.5485,0.6048,0.7735,5.5093883366279774
10.3926,0.0208,0.0506,15.9989,2.0000,0.4140,0.5488,0.6050,0.7736,5.5093883366279774
10.2560,0.0049,0.0227,28.2581,4.0000,0.4070,0.5452,0.6026,0.7768,7.7406644019172415
10.2666,0.0040,0.0204,30.1868,4.0000,0.4047,0.5423,0.6007,0.7759,7.7406644019172415
10.2358,0.0065,0.0265,25.3684,4.0000,0.4049,0.5422,0.6004,0.7755,7.7406644019172415
10.5733,0.0979,0.1388,6.5327,1.0000,0.3028,0.4376,0.4979,0.6891,7.467942332285852
10.5867,0.0969,0.1385,6.5448,1.0000,0.3015,0.4366,0.4971,0.6886,7.467942332285852
10.8081,0.0806,0.1193,7.5070,1.0000,0.3031,0.4371,0.4984,0.6881,7.467942332285852
10.2848,0.0648,0.1049,8.5157,1.0000,0.3975,0.5292,0.5842,0.7505,7.192182058713246
10.3188,0.0622,0.1021,8.7343,1.0000,0.3987,0.5296,0.5842,0.7494,7.192182058713246
10.8191,0.0213,0.0506,15.9941,2.0000,0.3987,0.5292,0.5836,0.7474,7.192182058713246
10.3973,0.0591,0.0961,9.3193,1.0000,0.3766,0.5634,0.6260,0.7689,3.4011973816621555
10.7440,0.0303,0.0621,13.6638,2.0000,0.3753,0.5635,0.6255,0.7678,3.4011973816621555
10.4134,0.0561,0.0934,9.5745,1.0000,0.3771,0.5650,0.6272,0.7697,3.4011973816621555
10.1199,0.0244,0.0564,14.4460,2.0000,0.4123,0.5478,0.6045,0.7784,5.963579343618446
10.0111,0.0346,0.0691,12.1894,2.0000,0.4127,0.5502,0.6073,0.7815,5.963579343618446
9.9936,0.0353,0.0704,11.9984,2.0000,0.4137,0.5501,0.6068,0.7811,5.963579343618446
11.4307,0.0041,0.0192,33.6088,4.0000,0.3478,0.4932,0.5576,0.7474,5.1647859739235145
10.6496,0.0641,0.1015,8.8855,1.0000,0.3469,0.4924,0.5573,0.7479,5.1647859739235145
10.7053,0.0600,0.0966,9.2874,1.0000,0.3466,0.4922,0.5570,0.7471,5.1647859739235145
10.3861,0.0374,0.0737,11.6876,2.0000,0.3581,0.5524,0.6192,0.7690,3.4657359027997265
10.2685,0.0480,0.0868,10.1379,2.0000,0.3589,0.5529,0.6188,0.7686,3.4657359027997265
10.6515,0.0140,0.0410,18.9118,3.0000,0.3580,0.5534,0.6193,0.7670,3.4657359027997265
10.2406,0.0003,0.0050,62.9830,8.0000,0.4511,0.5831,0.6377,0.7998,4.127134385045092
10.0730,0.0139,0.0400,19.2282,3.0000,0.4515,0.5837,0.6378,0.8006,4.127134385045092
10.1187,0.0103,0.0338,21.8499,3.0000,0.4511,0.5827,0.6374,0.7992,4.127134385045092
10.6694,0.0198,0.0479,16.5990,2.0000,0.3866,0.5227,0.5797,0.7519,6.684611727667927
10.5880,0.0262,0.0576,14.2866,2.0000,0.3862,0.5222,0.5786,0.7514,6.684611727667927
10.8083,0.0085,0.0293,24.2886,3.0000,0.3863,0.5226,0.5797,0.7521,6.684611727667927
10.7473,0.0461,0.1125,7.1388,2.0000,0.1063,0.1863,0.2328,0.4481,8.06777619577889
10.7934,0.0351,0.0965,8.0848,2.0000,0.1053,0.1863,0.2331,0.4474,8.06777619577889
10.9031,0.0148,0.0603,11.5824,3.0000,0.1062,0.1858,0.2327,0.4469,8.06777619577889
10.3303,0.0579,0.0954,9.3808,1.0000,0.4831,0.5991,0.6401,0.7716,2.1972245773362196
10.8200,0.0192,0.0469,17.2976,2.0000,0.4844,0.6008,0.6422,0.7721,2.1972245773362196
10.4802,0.0468,0.0825,10.6918,1.0000,0.4831,0.5997,0.6414,0.7720,2.1972245773362196
10.1941,0.0609,0.0991,9.0243,1.0000,0.4250,0.5545,0.6080,0.7697,4.912654885736052
10.1516,0.0642,0.1033,8.6886,1.0000,0.4239,0.5531,0.6067,0.7690,4.912654885736052
10.9450,0.0007,0.0074,55.5597,7.0000,0.4250,0.5545,0.6080,0.7683,4.912654885736052
9.7701,0.0173,0.0460,17.0755,2.0000,0.4488,0.5835,0.6399,0.8099,4.465908118654584
9.7004,0.0233,0.0552,14.7859,2.0000,0.4472,0.5833,0.6397,0.8095,4.465908118654584
9.9260,0.0037,0.0193,31.8271,4.0000,0.4489,0.5845,0.6407,0.8100,4.465908118654584
10.2710,0.0208,0.0553,13.4420,3.0000,0.2544,0.3891,0.4533,0.6753,8.517193191416238
10.3045,0.0176,0.0495,14.6340,3.0000,0.2539,0.3886,0.4535,0.6763,8.517193191416238
10.4296,0.0047,0.0225,25.3651,5.0000,0.2551,0.3886,0.4533,0.6754,8.517193191416238
9.9811,0.0398,0.0758,11.4123,2.0000,0.4162,0.5648,0.6281,0.7930,3.871201010907891
10.1996,0.0222,0.0526,15.5587,2.0000,0.4181,0.5661,0.6290,0.7929,3.871201010907891
10.2344,0.0194,0.0486,16.6098,2.0000,0.4171,0.5650,0.6277,0.7920,3.871201010907891
10.2845,0.0406,0.0763,11.2104,2.0000,0.2852,0.4340,0.5037,0.7428,6.220590170099739
10.3280,0.0356,0.0704,12.0506,2.0000,0.2853,0.4326,0.5033,0.7449,6.220590170099739
10.2114,0.0455,0.0819,10.5342,2.0000,0.2860,0.4336,0.5055,0.7470,6.220590170099739
10.3933,0.0076,0.0285,24.4845,3.0000,0.4207,0.5524,0.6079,0.7749,6.553933404025811
10.4775,0.0009,0.0090,48.7167,6.0000,0.4202,0.5525,0.6080,0.7750,6.553933404025811
10.4055,0.0066,0.0262,25.9823,3.0000,0.4203,0.5533,0.6084,0.7753,6.553933404025811
9.8853,0.0398,0.0761,11.3969,2.0000,0.4192,0.5728,0.6383,0.7987,3.6375861597263857
10.1679,0.0149,0.0416,18.7451,2.0000,0.4196,0.5736,0.6390,0.7971,3.6375861597263857
9.8990,0.0368,0.0717,11.9445,2.0000,0.4197,0.5736,0.6381,0.7985,3.6375861597263857
9.7747,0.0316,0.0665,12.7288,2.0000,0.4639,0.6023,0.6571,0.8077,3.091042453358316
10.1183,0.0025,0.0156,36.4854,5.0000,0.4633,0.6018,0.6570,0.8061,3.091042453358316
9.9409,0.0174,0.0463,17.1359,2.0000,0.4627,0.6007,0.6558,0.8059,3.091042453358316
10.1599,0.0348,0.0684,12.5052,2.0000,0.3921,0.5684,0.6374,0.7899,3.4965075614664802
10.4970,0.0067,0.0262,26.5427,3.0000,0.3917,0.5678,0.6368,0.7881,3.4965075614664802
10.5383,0.0032,0.0175,34.6810,4.0000,0.3928,0.5686,0.6376,0.7885,3.4965075614664802
9.7724,0.0059,0.0252,25.8803,4.0000,0.3997,0.5452,0.6076,0.7968,6.282266746896006
9.6894,0.0135,0.0401,18.5483,3.0000,0.4009,0.5466,0.6093,0.7988,6.282266746896006
9.8184,0.0021,0.0148,36.1743,5.0000,0.4013,0.5461,0.6086,0.7971,6.282266746896006
10.5800,0.0021,0.0137,40.1493,5.0000,0.4799,0.6078,0.6523,0.7882,2.3978952727983707
10.0696,0.0442,0.0807,10.8392,2.0000,0.4791,0.6079,0.6525,0.7889,2.3978952727983707
10.3641,0.0190,0.0474,16.9889,2.0000,0.4807,0.6087,0.6534,0.7891,2.3978952727983707
10.4771,0.0002,0.0037,70.3655,9.0000,0.3068,0.4554,0.5245,0.7486,6.4457198193855785
10.3480,0.0106,0.0342,21.3693,3.0000,0.3057,0.4557,0.5248,0.7490,6.4457198193855785
10.0478,0.0358,0.0709,11.7913,2.0000,0.3068,0.4549,0.5240,0.7497,6.4457198193855785
9.0879,0.0004,0.0060,55.0113,8.0000,0.4962,0.6398,0.6955,0.8557,2.70805020110221
9.0794,0.0013,0.0120,40.2117,6.0000,0.4973,0.6408,0.6959,0.8560,2.70805020110221
9.0713,0.0019,0.0135,37.7151,5.0000,0.4969,0.6405,0.6949,0.8559,2.70805020110221
10.7299,0.0264,0.0576,14.5855,2.0000,0.4340,0.5889,0.6367,0.7708,2.833213344056216
10.4590,0.0486,0.0853,10.3913,1.0000,0.4329,0.5885,0.6360,0.7714,2.833213344056216
10.5675,0.0392,0.0733,11.8406,2.0000,0.4342,0.5894,0.6370,0.7720,2.833213344056216
10.4840,0.0098,0.0324,22.3068,3.0000,0.3504,0.4940,0.5577,0.7520,6.634633357861686
