6.2691,0.4500,0.5130,1.8939,1.0,0.3460,0.4940,0.5720,1.0000,6.4568,1.2647
8.6836,0.2268,0.2799,3.3870,1.0,0.3250,0.4767,0.5360,0.7363,6.4568,1.2647
2.3026,1.0000,1.0000,1.0000,1.0,1.0000,1.0000,1.0000,1.0000,6.4568,1.2647
4.9558,0.4600,0.5480,1.7606,1.0,0.4040,0.6320,0.8320,1.0000,9.5556,1.6184
9.8521,0.1341,0.1776,5.2634,1.0,0.3802,0.5291,0.5812,0.7369,9.5556,1.6184
9.3528,0.1722,0.2177,4.3361,1.0,0.3782,0.5240,0.5775,0.7394,9.5556,1.6184
6.3801,0.5100,0.5690,1.6949,1.0,0.2430,0.4300,0.5100,1.0000,7.0750,1.0199
7.6939,0.3510,0.4210,2.2779,1.0,0.2254,0.4100,0.4772,0.7610,7.0750,1.0199
9.8955,0.1335,0.1811,5.0403,1.0,0.2245,0.4115,0.4788,0.6862,7.0750,1.0199
10.0257,0.1601,0.2147,4.4246,1.0,0.4422,0.5326,0.5665,0.6918,1.6094,0.9100
9.5189,0.2104,0.2612,3.6727,1.0,0.4428,0.5338,0.5674,0.6970,1.6094,0.9100
6.1759,0.4310,0.4670,2.0790,1.0,0.4430,0.5690,0.6190,1.0000,1.6094,0.9100
3.4657,0.5400,0.6200,1.5625,1.0,0.5600,1.0000,1.0000,1.0000,3.1781,1.7613
7.2759,0.2392,0.2736,3.4602,1.0,0.4582,0.6302,0.6918,0.9110,3.1781,1.7613
5.9687,0.3260,0.3720,2.5575,1.0,0.4810,0.6440,0.7090,1.0000,3.1781,1.7613
9.8455,0.1326,0.1765,5.2986,1.0,0.3413,0.5073,0.5752,0.7389,9.2323,1.7883
5.0626,0.5400,0.6160,1.5823,1.0,0.3480,0.5680,0.7680,1.0000,9.2323,1.7883
7.5235,0.3044,0.3524,2.7012,1.0,0.3392,0.5126,0.5820,0.8298,9.2323,1.7883
9.7701,0.1257,0.1651,5.7133,1.0,0.4806,0.6122,0.6497,0.7721,1.6094,0.9926
8.5448,0.2059,0.2469,3.8911,1.0,0.4799,0.6112,0.6493,0.7919,1.6094,0.9926
7.3951,0.2772,0.3148,3.0713,1.0,0.4724,0.6222,0.6624,0.8744,1.6094,0.9926
5.0938,0.5680,0.6200,1.5337,1.0,0.3280,0.5480,0.7480,1.0000,7.8690,1.4511
9.9717,0.1484,0.2003,4.6703,1.0,0.3336,0.4701,0.5213,0.6910,7.8690,1.4511
9.4727,0.1926,0.2457,3.8462,1.0,0.3322,0.4689,0.5209,0.6943,7.8690,1.4511
7.5606,0.3132,0.3680,2.6028,1.0,0.3016,0.4964,0.5604,0.8158,10.1352,1.5215
7.5412,0.3074,0.3606,2.6539,1.0,0.3150,0.5062,0.5708,0.8232,10.1352,1.5215
2.3026,1.0000,1.0000,1.0000,1.0,1.0000,1.0000,1.0000,1.0000,10.1352,1.5215
8.8013,0.2595,0.3175,3.0107,1.0,0.3106,0.4516,0.5049,0.6952,8.9314,1.5249
6.2860,0.4530,0.5170,1.8622,1.0,0.3160,0.4790,0.5630,1.0000,8.9314,1.5249
8.7900,0.2581,0.3137,3.0451,1.0,0.3138,0.4533,0.5064,0.7013,8.9314,1.5249
8.5762,0.2099,0.2529,3.7707,1.0,0.4131,0.5649,0.6138,0.7794,10.3250,1.6113
9.7903,0.1270,0.1673,5.5991,1.0,0.4132,0.5663,0.6136,0.7589,10.3250,1.6113
4.8752,0.4160,0.5000,1.9084,1.0,0.4240,0.6760,0.8760,1.0000,10.3250,1.6113
4.9972,0.4920,0.5680,1.6892,1.0,0.3760,0.6080,0.8080,1.0000,4.7622,1.5011
4.9488,0.4800,0.5360,1.7730,1.0,0.4280,0.6360,0.8360,1.0000,4.7622,1.5011
9.2880,0.1612,0.2035,4.6262,1.0,0.3924,0.5341,0.5930,0.7600,4.7622,1.5011
2.3026,1.0000,1.0000,1.0000,1.0,1.0000,1.0000,1.0000,1.0000,4.5218,1.1683
9.3625,0.1719,0.2196,4.2944,1.0,0.3195,0.4696,0.5390,0.7339,4.5218,1.1683
5.1299,0.6080,0.6560,1.4793,1.0,0.3360,0.5240,0.7240,1.0000,4.5218,1.1683
9.7981,0.1278,0.1690,5.5559,1.0,0.4341,0.5710,0.6184,0.7591,1.6094,1.3446
9.8101,0.1305,0.1714,5.4897,1.0,0.4359,0.5744,0.6212,0.7573,1.6094,1.3446
4.9200,0.4720,0.5240,1.8248,1.0,0.4560,0.6520,0.8520,1.0000,1.6094,1.3446
3.6636,0.6200,0.7800,1.2821,1.0,0.4200,1.0000,1.0000,1.0000,3.6109,1.6345
9.8264,0.1300,0.1736,5.4007,1.0,0.3723,0.5552,0.6077,0.7468,3.6109,1.6345
4.8520,0.4000,0.4840,1.9531,1.0,0.4360,0.6880,0.8880,1.0000,3.6109,1.6345
8.7776,0.2412,0.3051,3.0831,1.0,0.2536,0.3850,0.4465,0.6925,7.2855,1.1496
2.3026,1.0000,1.0000,1.0000,1.0,1.0000,1.0000,1.0000,1.0000,7.2855,1.1496
9.9244,0.1352,0.1865,4.8964,1.0,0.2550,0.3815,0.4415,0.6693,7.2855,1.1496
2.3026,1.0000,1.0000,1.0000,1.0,1.0000,1.0000,1.0000,1.0000,9.8742,1.1393
